,degreeID,n,rank
1596,"39.0701,18",12,2173
1652,"40.0299,17",12,2174
2750,"51.3821,18",12,2175
1194,"26.0907,7",12,2176
758,"16.0199,17",12,2177
1408,"3.0599,7",12,2178
121,"1.1299,7",12,2179
1467,"30.2201,17",12,2180
2642,"51.2505,7",12,2181
2224,"50.0602,17",12,2182
1773,"42.2705,5",12,2183
1451,"30.1601,5",12,2184
1230,"26.1101,17",12,2185
1456,"30.1801,17",12,2186
3023,"9.0799,7",12,2187
358,"13.1206,17",12,2188
969,"22.0203,17",12,2189
252,"13.0406,18",12,2190
2470,"51.1003,7",12,2191
2133,"5.02,7",12,2192
2308,"50.0914,5",12,2193
1606,"39.0705,7",12,2194
76,"1.0906,5",12,2195
2122,"5.013,5",12,2196
2314,"50.0916,5",12,2197
1563,"38.9999,17",12,2198
363,"13.1209,17",12,2199
2959,"52.1909,7",11,2200
641,"15.0101,7",11,2201
1155,"26.0709,7",11,2202
21,"1.0301,7",11,2203
2694,"51.3803,17",11,2204
3013,"9.0404,7",11,2205
928,"19.0704,17",11,2206
2392,"51.0701,18",11,2207
384,"13.1306,17",11,2208
439,"13.1326,5",11,2209
1026,"23.1404,17",11,2210
2441,"51.0906,7",11,2211
2856,"52.0808,5",11,2212
2587,"51.2211,17",11,2213
525,"14.0805,17",11,2214
880,"16.1699,5",11,2215
1096,"26.0308,17",11,2216
2461,"51.0916,5",11,2217
2459,"51.0914,5",11,2218
895,"19.0299,5",11,2219
896,"19.0401,17",11,2220
2268,"50.0902,17",11,2221
1128,"26.0504,17",11,2222
201,"11.1004,7",11,2223
2570,"51.2205,5",11,2224
481,"13.1502,7",11,2225
159,"11.0199,17",11,2226
323,"13.1013,5",11,2227
2715,"51.3809,18",11,2228
2356,"51.0299,17",11,2229
941,"19.0799,17",11,2230
1980,"45.0699,17",11,2231
1402,"3.051,17",11,2232
2160,"50.0101,17",11,2233
1349,"29.0402,5",11,2234
1401,"3.0509,7",11,2235
1947,"45.0202,7",11,2236
2092,"5.0113,7",11,2237
1562,"38.0299,7",11,2238
1677,"40.0506,17",11,2239
1632,"4.0902,17",11,2240
1916,"44.0503,17",11,2241
2107,"5.0123,7",10,2242
1399,"3.0509,17",10,2243
